"Story","Title","Result","Date","Stability","Duration (s)"
"Create Thread","Create Thread with Title, content, and photo (without null)","ERROR","2022-12-17T20:55:11.0832584+07:00[Asia/Bangkok]","0.0","650.71"
"Create Thread","Create Thread with Title, content, and photo (with null)","ERROR","2022-12-17T21:06:01.8060731+07:00[Asia/Bangkok]","0.0","216.73"
