"Story","Title","Result","Date","Stability","Duration (s)"
"Register Account","Regist with username, email, and password","SUCCESS","2022-12-16T08:03:35.6516272+07:00[Asia/Bangkok]","0.0","955.63"
"Login Account","Login with email and Password","SUCCESS","2022-12-16T08:19:31.2998279+07:00[Asia/Bangkok]","0.0","342.55"
